"claim_id","probabilities"
65469,0.008
65470,0.002
65471,0.011
65472,0.007
65473,0.016
65474,0.001
65475,0.005
65476,0.029
65477,0.001
65478,0.03
65479,0.006
65480,0.013
65481,0.024
65482,0.001
65483,0.001
65484,0.003
65485,0.015
65486,0.008
65487,0.063
65488,0.002
65489,0.006
65490,0.009
65491,0
65492,0.001
65493,0.001
65494,0.013
65495,0.201
65496,0.004
65497,0.012
65498,0.001
65499,0.038
65500,0.081
65501,0.004
65502,0.007
65503,0.007
65504,0.01
65505,0.012
65506,0.01
65507,0.002
65508,0.027
65509,0.009
65510,0
65511,0.007
65512,0.015
65513,0.062
65514,0.004
65515,0.055
65516,0.039
65517,0.006
65518,0.039
65519,0.003
65520,0.008
65521,0.006
65522,0.036
65523,0.001
65524,0.014
65525,0.004
65526,0.008
65527,0.009
65528,0.016
65529,0.002
65530,0.033
65531,0.005
65532,0.005
65533,0.025
65534,0.014
65535,0.018
65536,0.002
65537,0.001
65538,0.009
65539,0.001
65540,0.016
65541,0.03
65542,0.003
65543,0.007
65544,0.007
65545,0.019
65546,0.004
65547,0.002
65548,0.006
65549,0.001
65550,0.003
65551,0.011
65552,0.003
65553,0.025
65554,0.004
65555,0.009
65556,0.037
65557,0.25
65558,0
65559,0.016
65560,0.007
65561,0.051
65562,0.004
65563,0
65564,0.003
65565,0.019
65566,0.003
65567,0.004
65568,0.192
65569,0.042
65570,0.012
65571,0.007
65572,0.02
65573,0.009
65574,0.005
65575,0.002
65576,0.006
65577,0.037
65578,0.006
65579,0.012
65580,0.027
65581,0.007
65582,0.002
65583,0
65584,0.001
65585,0.008
65586,0.004
65587,0.003
65588,0.002
65589,0.001
65590,0.003
65591,0.026
65592,0.004
65593,0.001
65594,0.012
65595,0.003
65596,0
65597,0.013
65598,0.006
65599,0.003
65600,0.003
65601,0
65602,0.019
65603,0.011
65604,0.006
65605,0.01
65606,0.006
65607,0.003
65608,0.026
65609,0.001
65610,0.032
65611,0.01
65612,0.001
65613,0.005
65614,0.004
65615,0.002
65616,0.016
65617,0.004
65618,0.01
65619,0.001
65620,0.024
65621,0.009
65622,0.005
65623,0.001
65624,0.008
65625,0.014
65626,0
65627,0.002
65628,0.001
65629,0.001
65630,0.009
65631,0.013
65632,0.008
65633,0.024
65634,0.001
65635,0.003
65636,0.011
65637,0.021
65638,0.026
65639,0.003
65640,0.035
65641,0.002
65642,0.001
65643,0.007
65644,0.005
65645,0
65646,0.048
65647,0.016
65648,0.013
65649,0
65650,0.003
65651,0.009
65652,0.016
65653,0.02
65654,0.002
65655,0.012
65656,0.004
65657,0.007
65658,0.009
65659,0
65660,0.002
65661,0.004
65662,0.038
65663,0.013
65664,0.003
65665,0.014
65666,0.028
65667,0.001
65668,0.009
65669,0
65670,0.003
65671,0.003
65672,0.013
65673,0.008
65674,0.037
65675,0.01
65676,0.001
65677,0.005
65678,0.009
65679,0.005
65680,0.001
65681,0.003
65682,0
65683,0
65684,0.007
65685,0
65686,0.003
65687,0.02
65688,0.005
65689,0
65690,0.002
65691,0.006
65692,0.001
65693,0.002
65694,0.005
65695,0.018
65696,0.005
65697,0.001
65698,0.022
65699,0.013
65700,0.006
65701,0.003
65702,0.002
65703,0.007
65704,0.005
65705,0.005
65706,0.005
65707,0
65708,0.018
65709,0.011
65710,0.267
65711,0.002
65712,0.017
65713,0.009
65714,0.052
65715,0.006
65716,0.202
65717,0.029
65718,0.002
65719,0.002
65720,0.059
65721,0.018
65722,0.012
65723,0.004
65724,0.001
65725,0.02
65726,0.081
65727,0.01
65728,0.014
65729,0.002
65730,0.011
65731,0.005
65732,0.001
65733,0
65734,0.003
65735,0.041
65736,0.007
65737,0.017
65738,0.011
65739,0.234
65740,0.004
65741,0.026
65742,0.011
65743,0.002
65744,0.002
65745,0.018
65746,0.013
65747,0.005
65748,0.003
65749,0.006
65750,0.001
65751,0.001
65752,0
65753,0.014
65754,0.003
65755,0.006
65756,0.008
65757,0.01
65758,0
65759,0.006
65760,0.01
65761,0.004
65762,0.001
65763,0.014
65764,0.059
65765,0.006
65766,0.004
65767,0.039
65768,0.004
65769,0.08
65770,0
65771,0.057
65772,0.004
65773,0
65774,0.014
65775,0.003
65776,0.006
65777,0.003
65778,0.002
65779,0.053
65780,0.018
65781,0.002
65782,0.003
65783,0.009
65784,0.002
65785,0.007
65786,0.005
65787,0.071
65788,0.014
65789,0.003
65790,0.007
65791,0.002
65792,0.017
65793,0.001
65794,0.002
65795,0.01
65796,0.008
65797,0.001
65798,0.005
65799,0.054
65800,0.017
65801,0.021
65802,0.001
65803,0.029
65804,0
65805,0
65806,0.003
65807,0
65808,0.005
65809,0.001
65810,0.017
65811,0
65812,0.026
65813,0.022
65814,0.006
65815,0.008
65816,0.004
65817,0.043
65818,0.01
65819,0.015
65820,0.01
65821,0
65822,0.002
65823,0
65824,0.002
65825,0.014
65826,0.004
65827,0.029
65828,0.003
65829,0
65830,0.003
65831,0
65832,0.002
65833,0.001
65834,0.041
65835,0.005
65836,0.002
65837,0.013
65838,0.008
65839,0
65840,0.011
65841,0
65842,0.005
65843,0.004
65844,0.003
65845,0
65846,0.011
65847,0.009
65848,0.008
65849,0.007
65850,0.031
65851,0.012
65852,0.045
65853,0.056
65854,0.087
65855,0.004
