"claim_id","probabilities"
65469,0.003
65470,0.004
65471,0.013
65472,0.003
65473,0.005
65474,0
65475,0.009
65476,0.025
65477,0.002
65478,0.025
65479,0.004
65480,0.01
65481,0.017
65482,0
65483,0
65484,0.003
65485,0.012
65486,0.011
65487,0.046
65488,0
65489,0.004
65490,0.011
65491,0.002
65492,0.003
65493,0.002
65494,0.012
65495,0.198
65496,0.002
65497,0.015
65498,0.003
65499,0.024
65500,0.067
65501,0.005
65502,0.018
65503,0.013
65504,0.011
65505,0.014
65506,0.022
65507,0.002
65508,0.038
65509,0.007
65510,0
65511,0.006
65512,0.009
65513,0.065
65514,0.005
65515,0.058
65516,0.047
65517,0.003
65518,0.033
65519,0.006
65520,0.002
65521,0.002
65522,0.051
65523,0
65524,0.015
65525,0.015
65526,0.006
65527,0.017
65528,0.009
65529,0
65530,0.028
65531,0.007
65532,0.004
65533,0.02
65534,0.011
65535,0.016
65536,0.002
65537,0.001
65538,0.014
65539,0.002
65540,0.015
65541,0.038
65542,0
65543,0.002
65544,0.009
65545,0.011
65546,0.001
65547,0
65548,0.006
65549,0.001
65550,0.001
65551,0.015
65552,0.004
65553,0.022
65554,0.006
65555,0.008
65556,0.023
65557,0.245
65558,0.002
65559,0.017
65560,0.009
65561,0.061
65562,0.004
65563,0.001
65564,0.004
65565,0.011
65566,0.011
65567,0.005
65568,0.196
65569,0.026
65570,0.015
65571,0.004
65572,0.021
65573,0.013
65574,0.007
65575,0.005
65576,0.01
65577,0.041
65578,0.013
65579,0.012
65580,0.018
65581,0.007
65582,0.001
65583,0
65584,0
65585,0.011
65586,0.004
65587,0.003
65588,0.002
65589,0.002
65590,0.005
65591,0.026
65592,0.003
65593,0.003
65594,0.008
65595,0.001
65596,0
65597,0.027
65598,0.001
65599,0
65600,0.003
65601,0
65602,0.015
65603,0.008
65604,0.002
65605,0.008
65606,0.003
65607,0.003
65608,0.029
65609,0
65610,0.03
65611,0.016
65612,0
65613,0.006
65614,0.004
65615,0.002
65616,0.01
65617,0.006
65618,0.011
65619,0
65620,0.003
65621,0.005
65622,0.006
65623,0.004
65624,0.006
65625,0.021
65626,0.004
65627,0.006
65628,0.001
65629,0
65630,0.005
65631,0.024
65632,0.003
65633,0.016
65634,0.001
65635,0.005
65636,0.012
65637,0.015
65638,0.014
65639,0.003
65640,0.042
65641,0.002
65642,0
65643,0.006
65644,0
65645,0.003
65646,0.019
65647,0.02
65648,0.011
65649,0
65650,0.002
65651,0.011
65652,0.01
65653,0.009
65654,0.009
65655,0.008
65656,0.004
65657,0.009
65658,0.018
65659,0
65660,0
65661,0.005
65662,0.048
65663,0.021
65664,0.002
65665,0.01
65666,0.023
65667,0.001
65668,0.002
65669,0.005
65670,0.003
65671,0.002
65672,0.012
65673,0.005
65674,0.015
65675,0.01
65676,0
65677,0.005
65678,0.019
65679,0.006
65680,0.002
65681,0.004
65682,0
65683,0.014
65684,0.007
65685,0.003
65686,0.003
65687,0.013
65688,0.001
65689,0
65690,0.003
65691,0.009
65692,0.001
65693,0.003
65694,0.007
65695,0.016
65696,0.005
65697,0
65698,0.025
65699,0.011
65700,0.01
65701,0.002
65702,0.001
65703,0.01
65704,0.002
65705,0.011
65706,0.008
65707,0.001
65708,0.012
65709,0.006
65710,0.237
65711,0.005
65712,0.017
65713,0.019
65714,0.1
65715,0.007
65716,0.146
65717,0.023
65718,0.002
65719,0.002
65720,0.057
65721,0.016
65722,0.008
65723,0
65724,0.007
65725,0.018
65726,0.08
65727,0.007
65728,0.015
65729,0.001
65730,0.011
65731,0.006
65732,0.002
65733,0.001
65734,0.001
65735,0.034
65736,0.002
65737,0.015
65738,0.004
65739,0.229
65740,0.005
65741,0.023
65742,0.012
65743,0.005
65744,0.006
65745,0.013
65746,0.015
65747,0.002
65748,0.004
65749,0.004
65750,0.006
65751,0.001
65752,0.001
65753,0.006
65754,0.003
65755,0.007
65756,0.006
65757,0.01
65758,0
65759,0.009
65760,0.009
65761,0.009
65762,0.001
65763,0.005
65764,0.078
65765,0.004
65766,0.002
65767,0.055
65768,0.007
65769,0.085
65770,0.001
65771,0.078
65772,0.003
65773,0
65774,0.022
65775,0.004
65776,0.006
65777,0.001
65778,0.005
65779,0.044
65780,0.014
65781,0.013
65782,0.004
65783,0.011
65784,0.001
65785,0.01
65786,0.003
65787,0.058
65788,0.01
65789,0.006
65790,0.007
65791,0.002
65792,0.017
65793,0.003
65794,0.001
65795,0.009
65796,0.002
65797,0.001
65798,0.006
65799,0.038
65800,0.006
65801,0.019
65802,0.003
65803,0.007
65804,0.003
65805,0.003
65806,0.007
65807,0
65808,0.014
65809,0.001
65810,0.067
65811,0.001
65812,0.026
65813,0.019
65814,0.005
65815,0.009
65816,0.008
65817,0.052
65818,0.014
65819,0.013
65820,0.005
65821,0.002
65822,0.014
65823,0.002
65824,0
65825,0.011
65826,0.008
65827,0.023
65828,0.003
65829,0
65830,0.002
65831,0
65832,0.002
65833,0.001
65834,0.051
65835,0.006
65836,0.007
65837,0.009
65838,0.007
65839,0.001
65840,0.011
65841,0.001
65842,0.004
65843,0.006
65844,0.001
65845,0.004
65846,0.004
65847,0.009
65848,0.002
65849,0.014
65850,0.042
65851,0.012
65852,0.045
65853,0.019
65854,0.076
65855,0.001
65856,0
65857,0.002
65858,0.003
65859,0.002
65860,0.007
65861,0.024
65862,0.039
65863,0.015
65864,0.004
65865,0.006
65866,0.001
65867,0.012
65868,0.013
65869,0
65870,0.014
65871,0.038
65872,0.009
65873,0.023
