"claim_id","probabilities"
65469,0.002
65470,0.006
65471,0.015
65472,0.004
65473,0.016
65474,0.001
65475,0.009
65476,0.027
65477,0.003
65478,0.034
65479,0.004
65480,0.017
65481,0.019
65482,0
65483,0
65484,0.001
65485,0.01
65486,0.008
65487,0.058
65488,0
65489,0.009
65490,0.018
65491,0.001
65492,0.004
65493,0.005
65494,0.018
65495,0.177
65496,0.003
65497,0.014
65498,0
65499,0.028
65500,0.085
65501,0.009
65502,0.007
65503,0.015
65504,0.009
65505,0.011
65506,0.013
65507,0.002
65508,0.037
65509,0.008
65510,0
65511,0.002
65512,0.011
65513,0.078
65514,0.006
65515,0.071
65516,0.048
65517,0.005
65518,0.03
65519,0.002
65520,0.003
65521,0.004
65522,0.049
65523,0.001
65524,0.014
65525,0.005
65526,0.001
65527,0.011
65528,0.01
65529,0.005
65530,0.036
65531,0.008
65532,0.006
65533,0.027
65534,0.022
65535,0.015
65536,0.002
65537,0
65538,0.008
65539,0.002
65540,0.016
65541,0.034
65542,0.002
65543,0.002
65544,0.004
65545,0.014
65546,0.002
65547,0.003
65548,0.001
65549,0
65550,0.004
65551,0.017
65552,0.002
65553,0.028
65554,0.009
65555,0.006
65556,0.029
65557,0.23
65558,0.002
65559,0.019
65560,0.006
65561,0.053
65562,0.003
65563,0.001
65564,0.002
65565,0.018
65566,0.015
65567,0.004
65568,0.202
65569,0.038
65570,0.011
65571,0.008
65572,0.016
65573,0.008
65574,0.006
65575,0.004
65576,0.01
65577,0.046
65578,0.016
65579,0.012
65580,0.012
65581,0.006
65582,0.004
65583,0.001
65584,0
65585,0.012
65586,0.007
65587,0
65588,0.004
65589,0
65590,0.006
65591,0.029
65592,0.001
65593,0.002
65594,0.01
65595,0.005
65596,0
65597,0.029
65598,0.004
65599,0.002
65600,0.001
65601,0.002
65602,0.015
65603,0.013
65604,0.001
65605,0.008
65606,0.005
65607,0.001
65608,0.035
65609,0.002
65610,0.023
65611,0.014
65612,0.001
65613,0.005
65614,0.006
65615,0.002
65616,0.017
65617,0.01
65618,0.013
65619,0.002
65620,0.004
65621,0.008
65622,0.006
