"claim_id","probabilities"
65469,0.004
65470,0.004
65471,0.01
65472,0.002
65473,0.014
65474,0.001
65475,0.006
65476,0.02
65477,0
65478,0.038
65479,0.006
65480,0.013
65481,0.043
65482,0
65483,0.003
65484,0
65485,0.019
65486,0.009
65487,0.055
65488,0.002
65489,0.009
65490,0.016
65491,0.004
65492,0.006
65493,0.002
65494,0.015
65495,0.164
65496,0.005
65497,0.017
65498,0.001
65499,0.027
65500,0.065
65501,0.007
65502,0.009
65503,0.012
65504,0.009
65505,0.022
65506,0.015
65507,0.002
65508,0.032
65509,0.006
65510,0
65511,0.007
65512,0.006
65513,0.062
65514,0.002
65515,0.055
65516,0.05
65517,0.008
65518,0.038
65519,0.008
65520,0.009
65521,0.007
65522,0.045
65523,0.001
65524,0.009
65525,0.011
65526,0.006
65527,0.012
65528,0.014
65529,0
65530,0.03
65531,0.002
65532,0.007
65533,0.024
65534,0.017
65535,0.021
65536,0.002
65537,0.005
65538,0.013
65539,0.005
65540,0.011
65541,0.03
65542,0.001
65543,0.003
65544,0.007
65545,0.018
65546,0.004
65547,0.001
65548,0.005
65549,0
65550,0
65551,0.012
65552,0.002
65553,0.018
65554,0.013
65555,0.004
65556,0.026
65557,0.22
65558,0
65559,0.016
65560,0.008
65561,0.052
65562,0.001
65563,0.001
65564,0.003
65565,0.011
65566,0.006
65567,0.003
65568,0.165
65569,0.028
65570,0.009
65571,0.006
65572,0.014
65573,0.006
65574,0.014
65575,0.005
65576,0.01
65577,0.04
65578,0.005
65579,0.011
65580,0.017
65581,0.008
65582,0.005
65583,0
65584,0
65585,0.008
65586,0.002
65587,0.004
65588,0.001
65589,0.002
65590,0.003
65591,0.028
65592,0.001
65593,0.004
65594,0.009
65595,0.003
65596,0
65597,0.027
65598,0.003
65599,0.002
65600,0.003
65601,0.002
65602,0.012
65603,0.014
65604,0.003
65605,0.011
65606,0.003
65607,0.004
65608,0.029
65609,0.001
65610,0.022
65611,0.01
65612,0.004
65613,0.008
65614,0.004
65615,0.002
65616,0.006
65617,0.006
65618,0.007
65619,0.002
65620,0.012
65621,0.006
65622,0.01
65623,0
65624,0.008
65625,0.017
65626,0.001
65627,0.002
65628,0.002
65629,0
65630,0.004
65631,0.013
65632,0.011
65633,0.014
65634,0.001
65635,0.001
65636,0.019
65637,0.016
65638,0.02
65639,0.002
65640,0.047
65641,0.003
65642,0.001
65643,0.01
65644,0.006
65645,0.004
65646,0.039
65647,0.019
65648,0.013
65649,0
65650,0.003
65651,0.011
65652,0.021
65653,0.009
65654,0.002
65655,0.008
65656,0.004
65657,0.008
65658,0.015
65659,0.001
65660,0.001
65661,0
65662,0.043
65663,0.018
65664,0.002
65665,0.009
65666,0.045
65667,0
65668,0.015
65669,0.001
65670,0.002
65671,0.001
65672,0.019
65673,0.011
65674,0.024
65675,0.012
65676,0
65677,0.005
65678,0.011
65679,0.002
65680,0.001
65681,0.001
65682,0
65683,0.001
65684,0.01
65685,0.002
65686,0.009
65687,0.019
65688,0.001
65689,0
65690,0.001
65691,0.005
65692,0.002
65693,0.005
65694,0.007
65695,0.017
65696,0.006
65697,0
65698,0.024
65699,0.006
65700,0.009
65701,0.005
65702,0.002
65703,0.003
65704,0.004
65705,0.019
65706,0.006
65707,0.006
65708,0.015
65709,0.017
65710,0.262
65711,0
65712,0.015
65713,0.019
65714,0.051
65715,0.005
65716,0.18
65717,0.019
65718,0.003
65719,0.006
65720,0.043
65721,0.016
65722,0.021
65723,0.005
65724,0.004
65725,0.018
65726,0.074
65727,0.009
65728,0.007
65729,0.002
65730,0.011
65731,0.005
65732,0
65733,0.001
65734,0.001
65735,0.031
65736,0.002
65737,0.019
65738,0.005
65739,0.214
65740,0
65741,0.026
65742,0.014
65743,0
65744,0.006
65745,0.019
65746,0.015
65747,0.006
65748,0.003
65749,0.007
65750,0.004
65751,0
65752,0
65753,0.01
65754,0.006
65755,0.007
65756,0.003
65757,0.018
65758,0
65759,0.009
65760,0.018
65761,0.008
65762,0
65763,0.016
65764,0.062
65765,0.004
65766,0.001
65767,0.043
65768,0.002
65769,0.092
65770,0.001
65771,0.066
65772,0.001
65773,0.001
65774,0.023
65775,0.003
65776,0.005
65777,0.003
65778,0.004
65779,0.047
65780,0.014
65781,0.004
65782,0.002
65783,0.013
65784,0
65785,0.011
65786,0.004
65787,0.047
65788,0.008
65789,0.004
65790,0.006
65791,0.006
65792,0.022
65793,0.003
65794,0.001
65795,0.01
65796,0.005
65797,0.002
65798,0.005
65799,0.034
65800,0.008
65801,0.023
65802,0.004
65803,0.023
65804,0.003
65805,0
65806,0.006
65807,0.001
65808,0.006
65809,0
65810,0.009
65811,0.003
65812,0.021
65813,0.022
65814,0.007
65815,0.013
65816,0.001
65817,0.046
65818,0.009
65819,0.018
65820,0.006
65821,0
65822,0.003
65823,0.001
65824,0.001
65825,0.013
65826,0.003
65827,0.021
65828,0.008
65829,0
65830,0.003
65831,0
65832,0.004
65833,0.001
65834,0.043
65835,0.005
65836,0.007
65837,0.01
65838,0.005
65839,0.001
65840,0.013
65841,0.001
65842,0.002
65843,0.001
65844,0.001
65845,0.005
65846,0.011
65847,0.01
65848,0.013
65849,0.014
65850,0.041
65851,0.007
65852,0.063
65853,0.042
65854,0.083
65855,0.003
65856,0
65857,0.001
65858,0.006
65859,0.002
65860,0.002
65861,0.041
65862,0.029
65863,0.014
65864,0.012
65865,0.023
65866,0.003
65867,0.016
65868,0.016
65869,0.001
65870,0.018
65871,0.027
65872,0.006
65873,0.043
65874,0.019
65875,0.002
65876,0.016
65877,0.003
65878,0.018
65879,0.016
65880,0.007
65881,0
65882,0.02
65883,0.007
65884,0.02
65885,0.005
65886,0.067
65887,0.014
65888,0.025
65889,0.002
65890,0.007
65891,0.081
65892,0.002
65893,0.007
65894,0.003
65895,0.007
65896,0.008
65897,0.009
65898,0.013
65899,0.001
65900,0
65901,0.003
65902,0.012
65903,0
65904,0.01
65905,0.02
65906,0.003
65907,0.003
65908,0.02
65909,0.004
